ds,yhat
2014-12-31 00:00:00,98.31642440737255
2014-12-31 01:00:00,98.30341990159121
2014-12-31 02:00:00,97.07327763223688
2014-12-31 03:00:00,94.2227656285289
2014-12-31 04:00:00,90.26410931027462
2014-12-31 05:00:00,86.48819070485129
2014-12-31 06:00:00,84.0477211272927
2014-12-31 07:00:00,83.10325760232254
2014-12-31 08:00:00,82.81531129678056
2014-12-31 09:00:00,82.15358811659661
2014-12-31 10:00:00,80.73833300309498
2014-12-31 11:00:00,78.9626506597965
2014-12-31 12:00:00,77.40297075190591
2014-12-31 13:00:00,76.22480570120959
2014-12-31 14:00:00,75.23027005059579
2014-12-31 15:00:00,74.45693819200785
2014-12-31 16:00:00,74.60154768796893
2014-12-31 17:00:00,76.68038684609921
2014-12-31 18:00:00,81.12911968463666
2014-12-31 19:00:00,87.18495547623176
2014-12-31 20:00:00,93.20857204191375
2014-12-31 21:00:00,97.73798171541078
2014-12-31 22:00:00,100.36123947870882
2014-12-31 23:00:00,101.65355898843798
