ds,yhat
2014-12-31 00:00:00,21.00222943483081
2014-12-31 01:00:00,25.440496443909517
2014-12-31 02:00:00,23.600672306075534
2014-12-31 03:00:00,28.15136598044317
2014-12-31 04:00:00,28.827223345308703
2014-12-31 05:00:00,27.176322339478627
2014-12-31 06:00:00,23.08773960233597
2014-12-31 07:00:00,23.314280082116774
2014-12-31 08:00:00,19.949268935368917
2014-12-31 09:00:00,20.55805889901409
2014-12-31 10:00:00,21.474813346182117
2014-12-31 11:00:00,20.120629331803475
2014-12-31 12:00:00,21.014966778693218
2014-12-31 13:00:00,23.28291306607327
2014-12-31 14:00:00,27.959938890878213
2014-12-31 15:00:00,31.928426559313078
2014-12-31 16:00:00,35.75398537107034
2014-12-31 17:00:00,44.213244544893314
2014-12-31 18:00:00,51.905396065304984
2014-12-31 19:00:00,60.33985441159933
2014-12-31 20:00:00,67.25640447025165
2014-12-31 21:00:00,76.82505828950295
2014-12-31 22:00:00,86.57395962002964
2014-12-31 23:00:00,92.2362182279478
